name,price,quality,category
Game1,38325,80,Aventura
Game2,16955,56,Puzzle
Game3,43966,2,Puzzle
Game4,31050,40,Deportes
Game5,21056,41,RPG
Game6,29978,37,Deportes
Game7,22347,75,Acción
Game8,34141,96,Puzzle
Game9,17392,86,Acción
Game10,39363,44,Aventura
Game11,27733,43,Puzzle
Game12,33407,53,Acción
Game13,18470,68,Estrategia
Game14,1489,62,Aventura
Game15,23598,97,Deportes
Game16,25430,11,Aventura
Game17,41279,69,Puzzle
Game18,22404,99,RPG
Game19,35422,21,Aventura
Game20,12716,81,Estrategia
Game21,28408,92,Deportes
Game22,32467,87,Acción
Game23,2734,25,RPG
Game24,16046,81,Puzzle
Game25,46579,47,Deportes
Game26,19226,81,RPG
Game27,48317,77,Aventura
Game28,20023,10,Deportes
Game29,319,12,Aventura
Game30,35273,12,Aventura
Game31,40579,76,Estrategia
Game32,42081,94,Aventura
Game33,3596,75,RPG
Game34,42381,47,Estrategia
Game35,48507,13,Estrategia
Game36,36944,13,Puzzle
Game37,26948,38,Deportes
Game38,29382,49,Aventura
Game39,45445,20,Deportes
Game40,13506,34,Deportes
Game41,10398,94,Aventura
Game42,541,78,Deportes
Game43,25873,29,Estrategia
Game44,40127,31,Puzzle
Game45,42276,90,Deportes
Game46,6408,91,Aventura
Game47,29439,100,Estrategia
Game48,20433,58,Acción
Game49,9405,3,RPG
Game50,2437,50,Estrategia
Game51,41531,0,Estrategia
Game52,47240,58,Acción
Game53,8477,77,Acción
Game54,18936,44,RPG
Game55,26589,81,Aventura
Game56,34069,89,Aventura
Game57,12305,34,Aventura
Game58,1786,38,Aventura
Game59,9430,30,Acción
Game60,13336,57,Acción
Game61,49728,6,Estrategia
Game62,33512,15,Aventura
Game63,34687,90,Acción
Game64,14897,13,Aventura
Game65,24723,25,Acción
Game66,30268,97,Acción
Game67,27315,70,Aventura
Game68,17400,82,Estrategia
Game69,39838,6,RPG
Game70,20851,100,Acción
Game71,40708,42,Acción
Game72,15489,35,RPG
Game73,24063,61,Deportes
Game74,44659,91,Aventura
Game75,25506,94,RPG
